theta_deg,r_mm,z_mm
5.2547,7.2548,78.8822
5.2630,7.2671,78.8899
5.2714,7.2794,78.8977
5.2797,7.2917,78.9054
5.2881,7.3040,78.9132
5.2965,7.3163,78.9210
5.3048,7.3287,78.9287
5.3132,7.3410,78.9365
5.3215,7.3533,78.9443
5.3299,7.3657,78.9521
5.3382,7.3780,78.9598
5.3466,7.3904,78.9676
5.3549,7.4027,78.9754
5.3633,7.4150,78.9832
5.3716,7.4274,78.9910
5.3800,7.4398,78.9988
5.3883,7.4521,79.0066
5.3967,7.4645,79.0144
5.4051,7.4768,79.0222
5.4134,7.4892,79.0300
5.4218,7.5016,79.0379
5.4301,7.5139,79.0457
5.4385,7.5263,79.0535
5.4468,7.5387,79.0613
5.4552,7.5511,79.0692
5.4635,7.5635,79.0770
5.4719,7.5758,79.0849
5.4802,7.5882,79.0927
5.4886,7.6006,79.1006
5.4969,7.6130,79.1084
5.5053,7.6254,79.1163
5.5137,7.6378,79.1241
5.5220,7.6502,79.1320
5.5304,7.6626,79.1399
5.5387,7.6750,79.1477
5.5471,7.6875,79.1556
5.5554,7.6999,79.1635
5.5638,7.7123,79.1714
5.5721,7.7247,79.1793
5.5805,7.7371,79.1872
5.5888,7.7496,79.1951
5.5972,7.7620,79.2030
5.6056,7.7744,79.2109
5.6139,7.7869,79.2188
5.6223,7.7993,79.2267
5.6306,7.8118,79.2346
5.6390,7.8242,79.2425
5.6473,7.8367,79.2504
5.6557,7.8491,79.2584
5.6640,7.8616,79.2663
5.6724,7.8740,79.2742
5.6807,7.8865,79.2821
5.6891,7.8990,79.2901
5.6974,7.9114,79.2980
5.7058,7.9239,79.3060
5.7142,7.9364,79.3139
5.7225,7.9488,79.3219
5.7309,7.9613,79.3298
5.7392,7.9738,79.3378
5.7476,7.9863,79.3458
5.7559,7.9988,79.3537
5.7643,8.0113,79.3617
5.7726,8.0238,79.3697
5.7810,8.0363,79.3777
5.7893,8.0488,79.3857
5.7977,8.0613,79.3936
5.8060,8.0738,79.4016
5.8144,8.0863,79.4096
5.8228,8.0988,79.4176
5.8311,8.1113,79.4256
5.8395,8.1239,79.4336
5.8478,8.1364,79.4416
5.8562,8.1489,79.4497
5.8645,8.1614,79.4577
5.8729,8.1740,79.4657
5.8812,8.1865,79.4737
5.8896,8.1990,79.4817
5.8979,8.2116,79.4898
5.9063,8.2241,79.4978
5.9147,8.2367,79.5058
5.9230,8.2492,79.5139
5.9314,8.2618,79.5219
5.9397,8.2743,79.5300
5.9481,8.2869,79.5380
5.9564,8.2995,79.5461
5.9648,8.3120,79.5541
5.9731,8.3246,79.5622
5.9815,8.3372,79.5703
5.9898,8.3497,79.5783
5.9982,8.3623,79.5864
6.0065,8.3749,79.5945
6.0149,8.3875,79.6026
6.0233,8.4001,79.6107
6.0316,8.4127,79.6187
6.0400,8.4253,79.6268
6.0483,8.4379,79.6349
6.0567,8.4505,79.6430
6.0650,8.4631,79.6511
6.0734,8.4757,79.6592
6.0817,8.4883,79.6673
6.0901,8.5009,79.6754
6.0984,8.5135,79.6836
6.1068,8.5261,79.6917
6.1151,8.5388,79.6998
6.1235,8.5514,79.7079
6.1319,8.5640,79.7161
6.1402,8.5767,79.7242
6.1486,8.5893,79.7323
6.1569,8.6019,79.7405
6.1653,8.6146,79.7486
6.1736,8.6272,79.7568
6.1820,8.6399,79.7649
6.1903,8.6525,79.7731
6.1987,8.6652,79.7812
6.2070,8.6778,79.7894
6.2154,8.6905,79.7975
6.2237,8.7031,79.8057
6.2321,8.7158,79.8139
6.2405,8.7285,79.8221
6.2488,8.7412,79.8302
6.2572,8.7538,79.8384
6.2655,8.7665,79.8466
6.2739,8.7792,79.8548
6.2822,8.7919,79.8630
6.2906,8.8046,79.8712
6.2989,8.8173,79.8794
6.3073,8.8300,79.8876
6.3156,8.8427,79.8958
6.3240,8.8554,79.9040
6.3324,8.8681,79.9122
6.3407,8.8808,79.9204
6.3491,8.8935,79.9286
6.3574,8.9062,79.9369
6.3658,8.9189,79.9451
6.3741,8.9316,79.9533
